group	fill	key
1	#FF8160	1-1 1995.24657534247
2	#FF8362	1-10 1995.24657534247
3	#FF7E5D	1-11 1995.24657534247
4	#FF7C5B	1-12 1995.24657534247
5	#FF7958	1-13 1995.24657534247
6	#FF7250	1-14 1995.24657534247
7	#FF7755	1-15 1995.24657534247
8	#FF7C5B	1-16 1995.24657534247
9	#FF8565	1-17 1995.24657534247
10	#FF8F70	1-18 1995.24657534247
11	#FF997B	1-19 1995.24657534247
12	#FF8362	1-2 1995.24657534247
13	#FF8C6D	1-20 1995.24657534247
14	#FF7E5D	1-21 1995.24657534247
15	#FF8362	1-22 1995.24657534247
16	#FF8F70	1-23 1995.24657534247
17	#FFAE95	1-24 1995.24657534247
18	#FF8565	1-3 1995.24657534247
19	#FF8160	1-4 1995.24657534247
20	#FF7E5D	1-5 1995.24657534247
21	#FF7958	1-6 1995.24657534247
22	#FF7958	1-7 1995.24657534247
23	#FF7C5B	1-8 1995.24657534247
24	#FF8160	1-9 1995.24657534247
25	#FF9678	10-1 1995.24657534247
26	#FF8A6B	10-10 1995.24657534247
27	#FF8160	10-11 1995.24657534247
28	#FF7E5D	10-12 1995.24657534247
29	#FF6948	10-13 1995.24657534247
30	#FF6746	10-14 1995.24657534247
31	#FF7452	10-15 1995.24657534247
32	#FF8160	10-16 1995.24657534247
33	#FF7755	10-17 1995.24657534247
34	#FF7755	10-18 1995.24657534247
35	#FF7958	10-19 1995.24657534247
36	#FF9476	10-2 1995.24657534247
37	#FF7C5B	10-20 1995.24657534247
38	#FF8A6B	10-21 1995.24657534247
39	#FFA287	10-22 1995.24657534247
40	#FFA58A	10-23 1995.24657534247
41	#FFAC93	10-24 1995.24657534247
42	#FF8F70	10-3 1995.24657534247
43	#FF8565	10-4 1995.24657534247
44	#FF8160	10-5 1995.24657534247
45	#FF7958	10-6 1995.24657534247
46	#FF7755	10-7 1995.24657534247
47	#FF7C5B	10-8 1995.24657534247
48	#FF8868	10-9 1995.24657534247
49	#FF9678	11-1 1995.24657534247
50	#FF8C6D	11-10 1995.24657534247
51	#FF8565	11-11 1995.24657534247
52	#FF7E5D	11-12 1995.24657534247
53	#FF6948	11-13 1995.24657534247
54	#FF6C4B	11-14 1995.24657534247
55	#FF7C5B	11-15 1995.24657534247
56	#FF8160	11-16 1995.24657534247
57	#FF7958	11-17 1995.24657534247
58	#FF7755	11-18 1995.24657534247
59	#FF7755	11-19 1995.24657534247
60	#FF9476	11-2 1995.24657534247
61	#FF7958	11-20 1995.24657534247
62	#FF8A6B	11-21 1995.24657534247
63	#FFA287	11-22 1995.24657534247
64	#FFA88D	11-23 1995.24657534247
65	#FFAA90	11-24 1995.24657534247
66	#FF8F70	11-3 1995.24657534247
67	#FF8565	11-4 1995.24657534247
68	#FF8160	11-5 1995.24657534247
69	#FF7958	11-6 1995.24657534247
70	#FF7755	11-7 1995.24657534247
71	#FF7E5D	11-8 1995.24657534247
72	#FF8C6D	11-9 1995.24657534247
73	#FF997B	12-1 1995.24657534247
74	#FF8868	12-10 1995.24657534247
75	#FF8160	12-11 1995.24657534247
76	#FF8362	12-12 1995.24657534247
77	#FF6948	12-13 1995.24657534247
78	#FF7C5B	12-14 1995.24657534247
79	#FF8362	12-15 1995.24657534247
80	#FF7755	12-16 1995.24657534247
81	#FF7452	12-17 1995.24657534247
82	#FF7755	12-18 1995.24657534247
83	#FF6C4B	12-19 1995.24657534247
84	#FF9476	12-2 1995.24657534247
85	#FF7755	12-20 1995.24657534247
86	#FF8868	12-21 1995.24657534247
87	#FFA084	12-22 1995.24657534247
88	#FFA88D	12-23 1995.24657534247
89	#FFAC93	12-24 1995.24657534247
90	#FF8F70	12-3 1995.24657534247
91	#FF8565	12-4 1995.24657534247
92	#FF7C5B	12-5 1995.24657534247
93	#FF7958	12-6 1995.24657534247
94	#FF7958	12-7 1995.24657534247
95	#FF8565	12-8 1995.24657534247
96	#FF8C6D	12-9 1995.24657534247
97	#FF997B	13-1 1995.24657534247
98	#FF7C5B	13-10 1995.24657534247
99	#FF6F4D	13-11 1995.24657534247
100	#FF7958	13-12 1995.24657534247
101	#FF8160	13-13 1995.24657534247
102	#FF7958	13-14 1995.24657534247
103	#FF7C5B	13-15 1995.24657534247
104	#FF7755	13-16 1995.24657534247
105	#FF7452	13-17 1995.24657534247
106	#FF7250	13-18 1995.24657534247
107	#FF7755	13-19 1995.24657534247
108	#FF997B	13-2 1995.24657534247
109	#FF7755	13-20 1995.24657534247
110	#FF8A6B	13-21 1995.24657534247
111	#FF997B	13-22 1995.24657534247
112	#FFA084	13-23 1995.24657534247
113	#FFB198	13-24 1995.24657534247
114	#FF8F70	13-3 1995.24657534247
115	#FF8565	13-4 1995.24657534247
116	#FF8362	13-5 1995.24657534247
117	#FF7E5D	13-6 1995.24657534247
118	#FF8565	13-7 1995.24657534247
119	#FF8A6B	13-8 1995.24657534247
120	#FF8565	13-9 1995.24657534247
121	#FF997B	14-1 1995.24657534247
122	#FF7C5B	14-10 1995.24657534247
123	#FF7250	14-11 1995.24657534247
124	#FF7452	14-12 1995.24657534247
125	#FF8868	14-13 1995.24657534247
126	#FF7452	14-14 1995.24657534247
127	#FF7452	14-15 1995.24657534247
128	#FF7250	14-16 1995.24657534247
129	#FF7250	14-17 1995.24657534247
130	#FF7250	14-18 1995.24657534247
131	#FF7755	14-19 1995.24657534247
132	#FF997B	14-2 1995.24657534247
133	#FF7E5D	14-20 1995.24657534247
134	#FF8A6B	14-21 1995.24657534247
135	#FF8C6D	14-22 1995.24657534247
136	#FFA084	14-23 1995.24657534247
137	#FFB198	14-24 1995.24657534247
138	#FF9273	14-3 1995.24657534247
139	#FF8A6B	14-4 1995.24657534247
140	#FF8868	14-5 1995.24657534247
141	#FF8868	14-6 1995.24657534247
142	#FF9273	14-7 1995.24657534247
143	#FF8565	14-8 1995.24657534247
144	#FF8868	14-9 1995.24657534247
145	#FF997B	15-1 1995.24657534247
146	#FFA88D	15-10 1995.24657534247
147	#FF7755	15-11 1995.24657534247
148	#FF7452	15-12 1995.24657534247
149	#FF7E5D	15-13 1995.24657534247
150	#FF7958	15-14 1995.24657534247
151	#FF7755	15-15 1995.24657534247
152	#FF7452	15-16 1995.24657534247
153	#FF7452	15-17 1995.24657534247
154	#FF7250	15-18 1995.24657534247
155	#FF7958	15-19 1995.24657534247
156	#FF9476	15-2 1995.24657534247
157	#FF7958	15-20 1995.24657534247
158	#FF8160	15-21 1995.24657534247
159	#FF8362	15-22 1995.24657534247
160	#FF9D81	15-23 1995.24657534247
161	#FFA88D	15-24 1995.24657534247
162	#FF9273	15-3 1995.24657534247
163	#FF9273	15-4 1995.24657534247
164	#FF9D81	15-5 1995.24657534247
165	#FF9476	15-6 1995.24657534247
166	#FFA287	15-7 1995.24657534247
167	#FFBBA5	15-8 1995.24657534247
168	#FFBDA8	15-9 1995.24657534247
169	#FF997B	16-1 1995.24657534247
170	#FFB198	16-10 1995.24657534247
171	#FFB39B	16-11 1995.24657534247
172	#FF9D81	16-12 1995.24657534247
173	#FF8868	16-13 1995.24657534247
