group	fill	key
1	#FEFDFF	1997 1-1
2	#F4ECFF	1997 1-10
3	#F6EFFF	1997 1-11
4	#F6EFFF	1997 1-12
5	#E5D2FF	1997 1-13
6	#EBDCFF	1997 1-14
7	#FEFEFF	1997 1-15
8	#F0E5FF	1997 1-16
9	#EFE4FF	1997 1-17
10	#E6D4FF	1997 1-18
11	#EFE4FF	1997 1-19
12	#F6EEFF	1997 1-2
13	#E9D8FF	1997 1-20
14	#EFE3FF	1997 1-21
15	#FEFDFF	1997 1-22
16	#F7F1FF	1997 1-23
17	#F1E6FF	1997 1-24
18	#F4ECFF	1997 1-3
19	#F2E8FF	1997 1-4
20	#F4ECFF	1997 1-5
21	#EDE0FF	1997 1-6
22	#E7D6FF	1997 1-7
23	#DBC4FF	1997 1-8
24	#E5D2FF	1997 1-9
25	#FFF8F5	1997 10-1
26	#CFB1FF	1997 10-10
27	#DAC1FF	1997 10-11
28	#EDE0FF	1997 10-12
29	#EADAFF	1997 10-13
30	#EADBFF	1997 10-14
31	#FAF6FF	1997 10-15
32	#F0E5FF	1997 10-16
33	#FFF9F7	1997 10-17
34	#FFF9F7	1997 10-18
35	#F4ECFF	1997 10-19
36	#FFFCFB	1997 10-2
37	#F4EBFF	1997 10-20
38	#F4EBFF	1997 10-21
39	#FFF0EA	1997 10-22
40	#FFFDFC	1997 10-23
41	#FFD2C3	1997 10-24
42	#F7F0FF	1997 10-3
43	#F5EDFF	1997 10-4
44	#EFE3FF	1997 10-5
45	#EDE0FF	1997 10-6
46	#E7D6FF	1997 10-7
47	#D4B8FF	1997 10-8
48	#CBACFF	1997 10-9
49	#FFF8F5	1997 11-1
50	#DBC3FF	1997 11-10
51	#D0B2FF	1997 11-11
52	#DEC8FF	1997 11-12
53	#EADAFF	1997 11-13
54	#E8D7FF	1997 11-14
55	#F9F4FF	1997 11-15
56	#F0E5FF	1997 11-16
57	#FFFEFE	1997 11-17
58	#FFF9F7	1997 11-18
59	#F1E7FF	1997 11-19
60	#FFF4F0	1997 11-2
61	#DAC2FF	1997 11-20
62	#F4EBFF	1997 11-21
63	#FFF1EC	1997 11-22
64	#FFFFFF	1997 11-23
65	#FFEAE2	1997 11-24
66	#F7F0FF	1997 11-3
67	#F3EAFF	1997 11-4
68	#ECDEFF	1997 11-5
69	#EDE0FF	1997 11-6
70	#EEE1FF	1997 11-7
71	#DDC6FF	1997 11-8
72	#D1B4FF	1997 11-9
73	#FFEEE8	1997 12-1
74	#DDC6FF	1997 12-10
75	#D3B7FF	1997 12-11
76	#E1CCFF	1997 12-12
77	#DEC8FF	1997 12-13
78	#F6EFFF	1997 12-14
79	#F1E7FF	1997 12-15
80	#EADBFF	1997 12-16
81	#E9D9FF	1997 12-17
82	#F7F0FF	1997 12-18
83	#E6D4FF	1997 12-19
84	#FFF8F6	1997 12-2
85	#E2CEFF	1997 12-20
86	#F0E5FF	1997 12-21
87	#FFF5F1	1997 12-22
88	#FFF1EC	1997 12-23
89	#FFDFD3	1997 12-24
90	#FFFEFD	1997 12-3
91	#F8F2FF	1997 12-4
92	#F5EDFF	1997 12-5
93	#F2E7FF	1997 12-6
94	#E9D9FF	1997 12-7
95	#EBDDFF	1997 12-8
96	#E0CBFF	1997 12-9
97	#FFEBE3	1997 13-1
98	#EBDDFF	1997 13-10
99	#D2B6FF	1997 13-11
100	#E0CAFF	1997 13-12
101	#E3D0FF	1997 13-13
102	#E4D1FF	1997 13-14
103	#E0CBFF	1997 13-15
104	#EDDFFF	1997 13-16
105	#F3EAFF	1997 13-17
106	#F8F3FF	1997 13-18
107	#FFEFE9	1997 13-19
108	#FFF0EB	1997 13-2
109	#E2CEFF	1997 13-20
110	#FFF9F7	1997 13-21
111	#FFF1EC	1997 13-22
112	#FFEAE3	1997 13-23
113	#FFDACD	1997 13-24
114	#FFFAF8	1997 13-3
115	#F5EEFF	1997 13-4
116	#FBF8FF	1997 13-5
117	#F2E7FF	1997 13-6
118	#F0E4FF	1997 13-7
119	#E9DAFF	1997 13-8
120	#E7D6FF	1997 13-9
121	#FFEFE9	1997 14-1
122	#DBC4FF	1997 14-10
123	#D9C0FF	1997 14-11
124	#D6BCFF	1997 14-12
125	#E7D6FF	1997 14-13
126	#F0E5FF	1997 14-14
127	#F2E8FF	1997 14-15
128	#F0E5FF	1997 14-16
129	#EBDDFF	1997 14-17
130	#FEFDFF	1997 14-18
131	#FFFFFF	1997 14-19
132	#FFF5F1	1997 14-2
133	#FFF5F1	1997 14-20
134	#FFFFFE	1997 14-21
135	#E6D4FF	1997 14-22
136	#FFEAE3	1997 14-23
137	#FFDACD	1997 14-24
138	#FEFDFF	1997 14-3
139	#F8F3FF	1997 14-4
140	#F9F4FF	1997 14-5
141	#F2E9FF	1997 14-6
142	#D5BAFF	1997 14-7
143	#DBC3FF	1997 14-8
144	#DDC5FF	1997 14-9
145	#FFF3EF	1997 15-1
146	#DCC5FF	1997 15-10
147	#EADBFF	1997 15-11
148	#EBDDFF	1997 15-12
149	#F3EAFF	1997 15-13
150	#F3EAFF	1997 15-14
151	#EDE0FF	1997 15-15
152	#EDE0FF	1997 15-16
153	#E7D6FF	1997 15-17
154	#F4ECFF	1997 15-18
155	#FFFFFE	1997 15-19
156	#FFFFFF	1997 15-2
157	#FFFCFB	1997 15-20
158	#F8F3FF	1997 15-21
159	#FEFEFF	1997 15-22
160	#FEFEFF	1997 15-23
161	#FFF3EF	1997 15-24
162	#F9F4FF	1997 15-3
163	#FFFFFF	1997 15-4
164	#FFF1EB	1997 15-5
165	#E6D4FF	1997 15-6
166	#FFDACD	1997 15-7
167	#FDFBFF	1997 15-8
168	#EADBFF	1997 15-9
169	#FDFBFF	1997 16-1
170	#D4B8FF	1997 16-10
171	#AB81FF	1997 16-11
172	#E8D7FF	1997 16-12
173	#EEE1FF	1997 16-13
174	#F2E7FF	1997 16-14
175	#F0E5FF	1997 16-15
176	#ECDEFF	1997 16-16
177	#E6D3FF	1997 16-17
178	#E9D9FF	1997 16-18
179	#F1E6FF	1997 16-19
180	#F3E9FF	1997 16-2
181	#FFFBFA	1997 16-20
182	#F9F5FF	1997 16-21
183	#FEFEFF	1997 16-22
184	#E6D3FF	1997 16-23
185	#E8D8FF	1997 16-24
186	#FBF9FF	1997 16-3
187	#FFE5DC	1997 16-4
188	#FFEAE2	1997 16-5
