x	y	label	key	showSelected1	group
-86	39	January 1995	date 1995	1995	1
-86	39	February 1995	date 1995.08493150685	1995.08493150685	2
-86	39	March 1995	date 1995.16164383562	1995.16164383562	3
-86	39	April 1995	date 1995.24657534247	1995.24657534247	4
-86	39	May 1995	date 1995.32876712329	1995.32876712329	5
-86	39	June 1995	date 1995.41369863014	1995.41369863014	6
-86	39	July 1995	date 1995.49589041096	1995.49589041096	7
-86	39	August 1995	date 1995.58082191781	1995.58082191781	8
-86	39	September 1995	date 1995.66575342466	1995.66575342466	9
-86	39	October 1995	date 1995.74794520548	1995.74794520548	10
-86	39	November 1995	date 1995.83287671233	1995.83287671233	11
-86	39	December 1995	date 1995.91506849315	1995.91506849315	12
-86	39	January 1996	date 1996	1996	13
-86	39	February 1996	date 1996.08469945355	1996.08469945355	14
-86	39	March 1996	date 1996.16393442623	1996.16393442623	15
-86	39	April 1996	date 1996.24863387978	1996.24863387978	16
-86	39	May 1996	date 1996.3306010929	1996.3306010929	17
-86	39	June 1996	date 1996.41530054645	1996.41530054645	18
-86	39	July 1996	date 1996.49726775956	1996.49726775956	19
-86	39	August 1996	date 1996.58196721311	1996.58196721311	20
-86	39	September 1996	date 1996.66666666667	1996.66666666667	21
-86	39	October 1996	date 1996.74863387978	1996.74863387978	22
-86	39	November 1996	date 1996.83333333333	1996.83333333333	23
-86	39	December 1996	date 1996.91530054645	1996.91530054645	24
-86	39	January 1997	date 1997	1997	25
-86	39	February 1997	date 1997.08493150685	1997.08493150685	26
-86	39	March 1997	date 1997.16164383562	1997.16164383562	27
-86	39	April 1997	date 1997.24657534247	1997.24657534247	28
-86	39	May 1997	date 1997.32876712329	1997.32876712329	29
-86	39	June 1997	date 1997.41369863014	1997.41369863014	30
-86	39	July 1997	date 1997.49589041096	1997.49589041096	31
-86	39	August 1997	date 1997.58082191781	1997.58082191781	32
-86	39	September 1997	date 1997.66575342466	1997.66575342466	33
-86	39	October 1997	date 1997.74794520548	1997.74794520548	34
-86	39	November 1997	date 1997.83287671233	1997.83287671233	35
-86	39	December 1997	date 1997.91506849315	1997.91506849315	36
-86	39	January 1998	date 1998	1998	37
-86	39	February 1998	date 1998.08493150685	1998.08493150685	38
-86	39	March 1998	date 1998.16164383562	1998.16164383562	39
-86	39	April 1998	date 1998.24657534247	1998.24657534247	40
-86	39	May 1998	date 1998.32876712329	1998.32876712329	41
-86	39	June 1998	date 1998.41369863014	1998.41369863014	42
-86	39	July 1998	date 1998.49589041096	1998.49589041096	43
-86	39	August 1998	date 1998.58082191781	1998.58082191781	44
-86	39	September 1998	date 1998.66575342466	1998.66575342466	45
-86	39	October 1998	date 1998.74794520548	1998.74794520548	46
-86	39	November 1998	date 1998.83287671233	1998.83287671233	47
-86	39	December 1998	date 1998.91506849315	1998.91506849315	48
-86	39	January 1999	date 1999	1999	49
-86	39	February 1999	date 1999.08493150685	1999.08493150685	50
-86	39	March 1999	date 1999.16164383562	1999.16164383562	51
-86	39	April 1999	date 1999.24657534247	1999.24657534247	52
-86	39	May 1999	date 1999.32876712329	1999.32876712329	53
-86	39	June 1999	date 1999.41369863014	1999.41369863014	54
-86	39	July 1999	date 1999.49589041096	1999.49589041096	55
-86	39	August 1999	date 1999.58082191781	1999.58082191781	56
-86	39	September 1999	date 1999.66575342466	1999.66575342466	57
-86	39	October 1999	date 1999.74794520548	1999.74794520548	58
-86	39	November 1999	date 1999.83287671233	1999.83287671233	59
-86	39	December 1999	date 1999.91506849315	1999.91506849315	60
-86	39	January 2000	date 2000	2000	61
-86	39	February 2000	date 2000.08469945355	2000.08469945355	62
-86	39	March 2000	date 2000.16393442623	2000.16393442623	63
-86	39	April 2000	date 2000.24863387978	2000.24863387978	64
-86	39	May 2000	date 2000.3306010929	2000.3306010929	65
-86	39	June 2000	date 2000.41530054645	2000.41530054645	66
-86	39	July 2000	date 2000.49726775956	2000.49726775956	67
-86	39	August 2000	date 2000.58196721311	2000.58196721312	68
-86	39	September 2000	date 2000.66666666667	2000.66666666667	69
-86	39	October 2000	date 2000.74863387978	2000.74863387978	70
-86	39	November 2000	date 2000.83333333333	2000.83333333333	71
-86	39	December 2000	date 2000.91530054645	2000.91530054645	72
